stargazers_count,has_projects,has_wiki,topic_count,forks_count_log,open_issues_count_log,days_since_last_push_log
61699,True,True,8,9.354613861132608,6.437751649736401,1.6094379124341003
61508,True,True,10,8.14060704285845,5.3230099791384085,0.6931471805599453
61447,False,False,1,9.620394932418154,3.7612001156935624,1.3862943611198906
61432,True,True,10,9.420439209769583,5.5053315359323625,2.995732273553991
61232,True,True,4,8.876963340262272,4.955827057601261,2.4849066497880004
61150,True,True,4,8.644002038279933,4.204692619390966,1.0986122886681096
61102,True,True,10,9.165447603085447,5.62040086571715,3.8712010109078907
61070,True,True,10,9.209540051805414,4.859812404361672,2.0794415416798357
61019,False,False,3,10.236776155340317,5.929589143389895,0.6931471805599453
60963,True,True,3,9.297251743965479,5.062595033026967,0.6931471805599453
60949,False,False,12,8.923457979694966,4.406719247264253,3.2188758248682006
60872,False,False,6,9.30946146284399,4.07753744390572,2.4849066497880004
60819,True,True,0,9.782618510055139,4.1588830833596715,6.645090969505644
60805,False,False,7,9.75452339939617,6.902742737158593,7.117205503164344
60505,False,True,6,7.941295570906532,3.4657359027997265,0.6931471805599453
60497,False,False,0,9.768354878544631,4.060443010546419,2.70805020110221
60381,True,True,17,8.789964651132264,6.456769655572163,2.5649493574615367
60232,True,False,13,8.632662441222351,6.675823221634848,0.6931471805599453
60222,False,False,15,9.534667728624708,1.3862943611198906,0.6931471805599453
60202,True,True,19,8.781862489558945,5.910796644040527,1.0986122886681096
60200,True,True,0,9.311994025702683,5.765191102784844,5.602118820879701
60157,True,True,5,9.51708950714519,3.8066624897703196,3.091042453358316
60036,False,False,18,8.835501457409778,3.2188758248682006,3.332204510175204
59947,False,True,3,10.567051430554399,6.059123195581797,0.6931471805599453
59909,True,False,15,8.331586243630754,6.806829360392176,0.6931471805599453
59842,False,True,1,9.92505333045069,4.543294782270004,1.0986122886681096
59754,False,True,6,9.14984699154722,5.14166355650266,4.276666119016055
59733,False,False,13,8.383661798791715,3.4011973816621555,1.0986122886681096
59695,True,False,15,7.269616749608169,2.3978952727983707,4.890349128221754
59553,True,True,3,9.69720111828834,5.308267697401205,6.222576268071369
59427,True,False,0,9.190137664658664,6.253828811575473,6.169610732491456
59420,True,True,16,8.956093075610639,4.04305126783455,0.6931471805599453
59367,True,False,11,8.148734808937169,5.37989735354046,0.6931471805599453
58944,True,True,0,9.246093541682,4.875197323201151,1.6094379124341003
58926,False,False,12,8.044626279767337,5.1298987149230735,6.467698726104354
58920,False,False,8,7.356918242356021,5.932245187448011,2.0794415416798357
58893,True,False,8,8.428799040653642,8.25608813381491,0.6931471805599453
58674,True,False,11,8.06054004653864,3.8712010109078907,1.3862943611198906
58648,True,True,0,10.208321683805474,6.135564891081739,6.642486801367256
58429,False,False,7,10.009422902944797,7.336285660021297,0.6931471805599453
58397,False,False,4,8.124446855715847,2.9444389791664403,1.6094379124341003
58326,False,False,16,8.461891875631148,6.326149473155099,0.6931471805599453
58263,True,True,0,9.211040127090456,5.855071922202427,5.236441962829949
58132,True,False,10,9.079320109537779,6.727431724850855,3.5553480614894135
58044,True,True,7,7.628517626575055,1.791759469228055,0.6931471805599453
57787,False,False,16,10.099136569540946,3.5263605246161616,1.3862943611198906
57615,True,False,20,7.844632644464681,5.69035945432406,0.6931471805599453
57559,True,True,6,8.74528448245438,6.7580945044277305,2.995732273553991
57541,False,False,12,7.83161727635261,6.920671504248683,0.6931471805599453
57437,False,True,7,9.417760962825156,3.332204510175204,1.791759469228055
57398,True,True,0,9.676837861892631,4.795790545596741,6.539585955617669
57383,True,True,13,9.768698226187489,3.784189633918261,2.5649493574615367
57369,False,False,2,8.119398589612294,2.1972245773362196,0.6931471805599453
57342,True,True,7,9.022563964499264,1.0986122886681096,0.6931471805599453
57262,True,True,20,9.307104040408491,5.75890177387728,0.6931471805599453
57246,True,True,20,8.536211197252,7.075808863978387,1.3862943611198906
57215,True,True,0,8.935640333747571,5.713732805509369,4.418840607796598
57075,False,True,2,7.959625305098115,5.241747015059643,0.6931471805599453
56914,True,False,5,8.597666575566114,3.8501476017100584,6.638567789166521
56851,True,True,0,9.18512512283512,5.953243334287785,2.995732273553991
56423,False,False,0,9.292841593487926,4.9344739331306915,1.3862943611198906
56410,True,True,4,9.527993782923948,6.728628613084702,6.456769655572163
56379,True,True,16,7.677400430514807,5.793013608384144,3.6375861597263857
56306,True,True,12,8.9126079636709,2.3978952727983707,0.6931471805599453
56290,True,True,0,9.191565216649849,6.313548046277095,4.574710978503383
56186,True,True,17,8.346167594364134,7.156176637480615,0.6931471805599453
56129,True,True,3,9.235715678307411,3.713572066704308,6.52649485957079
56099,True,False,20,8.586905803827538,6.790097235513905,0.6931471805599453
55996,True,False,14,8.760609847570002,5.934894195619588,1.0986122886681096
55978,True,True,5,8.603554357064281,4.553876891600541,3.044522437723423
55952,True,False,7,9.229652683008556,5.929589143389895,1.3862943611198906
55779,True,True,14,9.152711259139547,2.3978952727983707,5.730099782973575
55748,False,False,20,8.8110561229431,7.934871565945176,0.6931471805599453
55537,False,False,4,7.878534196140362,5.0106352940962555,1.3862943611198906
55469,False,False,20,8.421122722665503,6.635946555686647,0.6931471805599453
55237,True,False,14,9.50218875329738,2.1972245773362196,2.302585092994046
55218,True,False,10,8.903135633035538,4.276666119016055,5.916202062607435
55101,False,True,5,8.794218683679489,6.295266001439646,1.9459101490553132
54856,False,False,18,8.717027173294824,6.335054251498059,0.6931471805599453
54759,True,False,0,7.911324018963352,5.529429087511423,0.6931471805599453
54655,True,False,0,8.031385330625534,3.044522437723423,1.3862943611198906
54440,True,True,0,8.87570644462861,3.2188758248682006,4.574710978503383
54380,False,False,15,8.726481196440007,6.840546529288687,6.4425401664681985
54366,True,True,9,9.076351731972865,5.272999558563747,0.6931471805599453
54192,False,False,1,7.792348924113037,4.997212273764115,4.204692619390966
54173,True,False,0,8.754949455098293,6.38856140554563,6.410174881966167
54131,True,True,7,9.580661777948766,7.9966538754626075,6.45833828334479
54131,False,True,8,8.632484235750972,0.0,5.700443573390686
54028,True,True,10,11.539986003517082,5.288267030694535,0.6931471805599453
53996,False,True,8,9.203215047033595,5.44673737166631,1.6094379124341003
53946,True,False,6,7.598399329323964,5.318119993844216,5.043425116919247
53883,False,False,15,8.796641458940915,1.791759469228055,0.6931471805599453
53678,True,False,0,9.117786390365575,6.891625897052253,0.6931471805599453
53606,True,False,20,7.778211474512493,5.869296913133774,1.3862943611198906
53591,False,False,4,7.362645270417825,7.142036574706803,0.6931471805599453
53588,True,False,0,8.883085524404578,4.663439094112067,2.70805020110221
53545,False,False,3,9.249080200292113,4.330733340286331,6.559615237493242
53495,True,True,20,8.586719254064848,2.772588722239781,0.6931471805599453
53476,True,False,8,9.026177120302856,7.301147805856032,0.6931471805599453
53448,False,False,8,9.360569085222874,5.641907070938114,0.6931471805599453
53332,True,True,0,9.270400128403846,6.104793232414985,0.6931471805599453
53296,True,False,7,9.182557990963732,6.0014148779611505,1.6094379124341003
52899,True,False,17,10.100615616647056,6.759255270663693,1.791759469228055
52742,False,False,9,8.74878098951311,5.5134287461649825,0.6931471805599453
52533,True,True,20,8.689632748355741,6.317164686747284,0.6931471805599453
52507,True,True,18,9.501740523796375,6.440946540632921,1.3862943611198906
52503,True,True,10,7.968319500012717,6.0330862217988015,5.247024072160486
